Date,Open,High,Low,Close,Volume
6/12/2017,145.88,151.7,142.11,149.97,42198896
6/9/2017,164.74,168.5,142.75,149.6,92323196
6/8/2017,153.46,160,151.79,159.94,29043605
6/7/2017,148.33,149.88,147.7,149.12,15315293
6/6/2017,147.82,149.69,146.8,147.34,18968189
6/5/2017,142.98,148.53,142.51,148.01,20434442
6/2/2017,144.24,145.3,143.4,143.64,12186434
6/1/2017,144.99,145.03,142.52,144.36,12583467
5/31/2017,146.69,147,142.05,144.35,22182894
5/30/2017,143.7,146.29,143.05,144.87,24741298
5/26/2017,137.93,145.28,137.11,141.84,19478497
5/25/2017,140,140.03,136.44,138.26,15205701
5/24/2017,140.96,141.07,138.08,138.57,20434495
5/23/2017,139.7,139.79,135.71,137.03,17031247
5/22/2017,137.77,139.48,137.33,138.9,20915225
5/19/2017,137.02,138.22,135.22,136,25459271
5/18/2017,129.5,133.43,127.05,133.07,28900757
5/17/2017,134.1,134.86,127.55,127.72,31784158
5/16/2017,136.38,137.44,133.36,136.81,28017471
5/15/2017,129.56,134.41,129.38,134.31,27188548
5/12/2017,126.63,129.6,125.78,127.89,24065459
5/11/2017,120.05,130.43,119.91,126.5,48494808
5/10/2017,114.29,121.82,114.02,121.29,53227434
5/9/2017,103,104.93,102.66,102.94,21191792
5/8/2017,104.34,104.4,102.31,102.77,9130990
5/5/2017,103.38,104.15,102.75,103.86,5710736
5/4/2017,104.5,104.95,103.53,103.85,5244692
5/3/2017,103.2,104.64,102.6,104.25,8422633
5/2/2017,105.55,105.6,102.56,103.48,15749327
5/1/2017,104.74,106.85,104.45,106.64,7693333
4/28/2017,105.36,105.64,104.07,104.3,8706157
4/27/2017,104.32,105.98,103.59,105.64,7992465
4/26/2017,105.29,105.39,103.94,104.02,8175145
4/25/2017,103.54,105.33,102.67,104.74,9710972
4/24/2017,102.96,103.48,102.11,102.95,9295490
4/21/2017,100.84,101.79,100.36,101.68,8547390
4/20/2017,100.27,101.45,99.41,101.26,10100358
4/19/2017,100,100.98,99.41,99.68,9520659
4/18/2017,98.65,99.54,97.6,99.29,9252944
4/17/2017,96.01,99.24,95.8,99.23,12432305
4/13/2017,96.33,97.21,95.49,95.49,12672345
4/12/2017,98.12,98.7,97.1,97.31,10352296
4/11/2017,96.55,98.9,96.35,98.12,15453747
4/10/2017,100.36,100.63,97.6,97.77,18908264
4/7/2017,101.02,101.73,99.72,100.33,10726650
4/6/2017,100.24,101.25,98.41,100.76,15878004
4/5/2017,100.02,102.37,99.5,100.03,18676232
4/4/2017,103.4,104.42,100.34,100.78,31782004
4/3/2017,108.95,109.65,107.42,108.38,11130813
3/31/2017,109.01,109.89,108.4,108.93,11020165
3/30/2017,107.63,110,107.4,109.4,13138349
3/29/2017,107.99,108.49,107.25,107.34,8749791
3/28/2017,108.3,108.89,107.27,107.69,10811109
3/27/2017,105.58,108.4,103.58,108.25,12666100
3/24/2017,108.97,109.29,106.42,107.47,10987546
3/23/2017,107.75,108.56,106.7,107.09,13348542
3/22/2017,105.46,108.26,105.3,108.07,15419106
3/21/2017,108.75,109.96,105.58,105.91,22837103
3/20/2017,106.78,109.61,106.13,109.45,18714152
3/17/2017,104.52,106.12,103.81,106.07,27992169
3/16/2017,102.98,103.83,102.41,103.81,13077495
3/15/2017,102.25,102.99,100.32,102.55,15375852
3/14/2017,102.37,102.75,100.47,101.78,13050415
3/13/2017,99.54,102.25,99.51,101.85,19353402
3/10/2017,99.61,100.09,98.38,99.12,12493513
3/9/2017,97.91,99.45,97.4,98.54,11951471
3/8/2017,100.7,101.3,98.47,98.56,15967822
3/7/2017,97.67,99.53,97.15,98.74,15085007
3/6/2017,96.96,98.1,95.17,97.67,22089169
3/3/2017,98.57,98.77,96.22,98.43,21636424
3/2/2017,102.27,102.84,98.89,99,18858278
3/1/2017,103.79,104.37,101.11,102.79,12620139
2/28/2017,104.8,105.2,100.78,101.48,15633968
2/27/2017,102.2,105.02,101.56,104.41,17885019
2/24/2017,97.07,102,95.7,101.46,25747597
2/23/2017,105.5,106.39,99.68,100.49,39822213
2/22/2017,111.42,111.8,109.99,110.76,10844256
2/21/2017,108.23,111.23,108.22,111.07,13798783
2/17/2017,106.7,107.41,104.79,107.23,14093465
2/16/2017,109.39,109.44,105.66,107.25,16179386
2/15/2017,108.9,109.8,107.76,109,9325512
2/14/2017,107.99,110.15,106.29,108.78,21265787
2/13/2017,113.39,113.98,108.2,108.38,29518071
2/10/2017,119.93,120.7,112.6,113.62,41277341
2/9/2017,118.86,119.06,115.6,116.38,21064178
2/8/2017,118.4,119.31,116.38,118.61,11239487
2/7/2017,118.7,120.92,117.9,119.13,18655567
2/6/2017,114,117.33,114,117.31,12669205
2/3/2017,115.45,115.9,113.9,114.38,9318633
2/2/2017,113.3,115.74,112.06,115.39,12081040
2/1/2017,110.58,114.12,109.86,113.95,14750082
1/31/2017,108.95,110.05,108.2,109.18,9068865
1/30/2017,110.92,111.01,107.91,110.02,12400084
1/27/2017,109.93,111.89,108.85,111.77,11799929
1/26/2017,107.9,109.95,106.7,109.65,11469970
1/25/2017,109.05,109.3,106.33,107.79,13084499
1/24/2017,105.5,107.58,104.9,107.33,10701271
1/23/2017,103.8,105.9,103.7,105.09,9247639
1/20/2017,106.08,106.8,103.12,104.01,12300557
